,name,trial,ifJudgeChase,selectWolf,selectSheep,hideId,trainCondition,lineCondition,rf
0,fumengyao0407,0,0,,,3,1,masterDistractor,1
1,fumengyao0407,1,1,2.0,0.0,3,1,masterDistractor,0
2,fumengyao0407,2,1,0.0,1.0,1,1,wolfDistractor,1
3,fumengyao0407,3,0,,,1,1,masterDistractor,1
4,fumengyao0407,4,0,,,1,1,masterWolf,0
5,fumengyao0407,5,0,,,1,1,wolfDistractor,1
6,fumengyao0407,6,0,,,3,1,masterDistractor,1
7,fumengyao0407,7,1,0.0,2.0,3,1,wolfDistractor,0
8,fumengyao0407,8,1,0.0,2.0,3,1,wolfDistractor,0
9,fumengyao0407,9,0,,,1,1,wolfDistractor,0
10,fumengyao0407,10,0,,,1,1,masterWolf,0
11,fumengyao0407,11,1,2.0,0.0,3,1,masterDistractor,0
12,fumengyao0407,12,0,,,3,1,masterDistractor,1
13,fumengyao0407,13,0,,,1,1,masterWolf,0
14,fumengyao0407,14,0,,,3,1,masterWolf,1
15,fumengyao0407,15,0,,,1,1,masterWolf,0
16,fumengyao0407,16,1,0.0,1.0,1,1,wolfDistractor,1
17,fumengyao0407,17,0,,,3,1,masterDistractor,1
18,fumengyao0407,18,0,,,3,1,masterWolf,1
19,fumengyao0407,19,0,,,1,1,masterWolf,1
20,fumengyao0407,20,1,2.0,0.0,3,1,masterDistractor,0
21,fumengyao0407,21,1,0.0,1.0,1,1,wolfDistractor,1
22,fumengyao0407,22,0,,,1,1,masterWolf,0
23,fumengyao0407,23,1,0.0,2.0,3,1,wolfDistractor,1
24,fumengyao0407,24,1,0.0,2.0,3,1,wolfDistractor,0
25,fumengyao0407,25,0,,,3,1,masterWolf,0
26,fumengyao0407,26,0,,,3,1,masterWolf,1
27,fumengyao0407,27,0,,,3,1,masterWolf,0
28,fumengyao0407,28,0,,,1,1,masterWolf,1
29,fumengyao0407,29,0,,,1,1,masterWolf,0
30,fumengyao0407,30,0,,,1,1,masterWolf,0
31,fumengyao0407,31,0,,,1,1,masterWolf,1
32,fumengyao0407,32,1,0.0,1.0,1,1,wolfDistractor,0
33,fumengyao0407,33,0,,,1,1,masterDistractor,0
34,fumengyao0407,34,1,0.0,2.0,3,1,wolfDistractor,0
35,fumengyao0407,35,0,,,1,1,masterWolf,0
36,fumengyao0407,36,1,0.0,1.0,1,1,wolfDistractor,0
37,fumengyao0407,37,1,1.0,0.0,1,1,masterDistractor,0
38,fumengyao0407,38,0,,,1,1,masterDistractor,1
39,fumengyao0407,39,1,0.0,2.0,3,1,wolfDistractor,0
40,fumengyao0407,40,0,,,3,1,masterWolf,0
41,fumengyao0407,41,0,,,3,1,wolfDistractor,1
42,fumengyao0407,42,0,,,3,1,wolfDistractor,1
43,fumengyao0407,43,1,0.0,2.0,3,1,wolfDistractor,0
44,fumengyao0407,44,0,,,3,1,masterDistractor,1
45,fumengyao0407,45,0,,,1,1,masterDistractor,1
46,fumengyao0407,46,0,,,1,1,wolfDistractor,0
47,fumengyao0407,47,1,0.0,1.0,1,1,wolfDistractor,0
48,fumengyao0407,48,0,,,1,1,masterWolf,1
49,fumengyao0407,49,0,,,3,1,masterWolf,1
50,fumengyao0407,50,1,0.0,1.0,3,1,masterWolf,0
51,fumengyao0407,51,0,,,1,1,masterDistractor,1
52,fumengyao0407,52,1,0.0,1.0,3,1,masterWolf,0
53,fumengyao0407,53,0,,,1,1,masterWolf,1
54,fumengyao0407,54,0,,,3,1,masterWolf,0
55,fumengyao0407,55,0,,,1,1,masterDistractor,0
56,fumengyao0407,56,0,,,1,1,wolfDistractor,0
57,fumengyao0407,57,0,,,1,1,masterDistractor,0
58,fumengyao0407,58,0,,,3,1,masterWolf,1
59,fumengyao0407,59,0,,,1,1,wolfDistractor,1
60,fumengyao0407,60,1,0.0,1.0,1,1,wolfDistractor,0
61,fumengyao0407,61,1,0.0,2.0,3,1,wolfDistractor,1
62,fumengyao0407,62,0,,,3,1,masterWolf,1
63,fumengyao0407,63,1,0.0,2.0,3,1,wolfDistractor,1
64,fumengyao0407,64,0,,,1,1,masterDistractor,1
65,fumengyao0407,65,0,,,1,1,masterDistractor,1
66,fumengyao0407,66,1,0.0,2.0,3,1,masterDistractor,0
67,fumengyao0407,67,0,,,1,1,masterWolf,1
68,fumengyao0407,68,0,,,3,1,masterWolf,0
69,fumengyao0407,69,1,2.0,0.0,3,1,masterDistractor,0
70,fumengyao0407,70,0,,,1,1,masterDistractor,0
71,fumengyao0407,71,0,,,1,1,masterWolf,0
72,fumengyao0407,72,0,,,1,1,masterWolf,1
73,fumengyao0407,73,0,,,1,1,masterWolf,1
74,fumengyao0407,74,1,1.0,0.0,1,1,masterDistractor,0
75,fumengyao0407,75,0,,,1,1,masterDistractor,1
76,fumengyao0407,76,1,0.0,1.0,1,1,wolfDistractor,1
77,fumengyao0407,77,0,,,1,1,masterWolf,0
78,fumengyao0407,78,1,0.0,2.0,3,1,masterDistractor,0
79,fumengyao0407,79,1,0.0,2.0,3,1,wolfDistractor,1
80,fumengyao0407,80,1,0.0,1.0,1,1,wolfDistractor,1
81,fumengyao0407,81,1,1.0,0.0,1,1,masterDistractor,0
82,fumengyao0407,82,0,,,3,1,wolfDistractor,1
83,fumengyao0407,83,1,0.0,2.0,3,1,wolfDistractor,1
84,fumengyao0407,84,1,0.0,1.0,1,1,wolfDistractor,1
85,fumengyao0407,85,0,,,3,1,masterWolf,0
86,fumengyao0407,86,0,,,1,1,masterWolf,1
87,fumengyao0407,87,1,0.0,2.0,3,1,masterDistractor,1
88,fumengyao0407,88,0,,,3,1,masterDistractor,1
89,fumengyao0407,89,1,0.0,1.0,1,1,wolfDistractor,0
90,fumengyao0407,90,1,0.0,1.0,1,1,masterDistractor,0
91,fumengyao0407,91,0,,,3,1,masterWolf,1
92,fumengyao0407,92,0,,,1,1,masterWolf,1
93,fumengyao0407,93,0,,,3,1,masterWolf,1
94,fumengyao0407,94,0,,,1,1,masterDistractor,1
95,fumengyao0407,95,0,,,1,1,masterDistractor,1
96,fumengyao0407,96,1,0.0,1.0,1,1,masterDistractor,1
97,fumengyao0407,97,1,2.0,0.0,3,1,masterDistractor,1
98,fumengyao0407,98,0,,,1,1,wolfDistractor,1
99,fumengyao0407,99,0,,,3,1,wolfDistractor,0
100,fumengyao0407,100,0,,,3,1,masterDistractor,1
101,fumengyao0407,101,1,0.0,1.0,3,1,masterWolf,1
102,fumengyao0407,102,1,0.0,2.0,3,1,masterDistractor,0
