moveCondition,ID_Index,xIfNoGravityPredictError,yIfNoGravityPredictError,xIfGravityPredictError,yIfGravityPredictError
gravity,num_1_2024_04_20_10_06_59,-0.021758279,-1.763632963,0.023172448,-0.027153929
gravity,num_1_2024_04_20_13_43_37,0.130222798,-1.159989163,0.107678808,0.789954776
gravity,num_1_2024_04_20_16_16_52,0.109213684,-1.40130283,0.216105275,0.435101505
gravity,num_1_2024_04_26_19_16_59,-0.073583535,-2.033897078,-0.003140186,-0.162159778
gravity,num_2_2024_04_20_11_00_16,0.055608836,-1.352932207,0.058775155,0.394670747
gravity,num_2_2024_04_20_14_34_38,0.057685456,-1.530590853,0.039688821,0.331196835
gravity,num_2_2024_04_20_18_00_33,0.015479264,-1.146862563,0.081001367,0.831718888
gravity,num_3_2024_04_20_13_22_10,0.155034826,-1.695842164,0.126593932,0.144746857
gravity,num_3_2024_04_20_15_27_02,0.139151725,-1.676062356,0.090073041,0.149166358
gravity,num_3_2024_04_20_18_56_45,0.054838205,-1.16772127,0.106841235,0.811663385
noGravity,num_1_2024_04_20_10_06_59,0.064846748,-0.070824978,0.015964887,3.07303169
noGravity,num_1_2024_04_20_13_43_37,0.059800439,0.383038837,0.102279478,3.478176268
noGravity,num_1_2024_04_20_16_16_52,0.150411899,0.000232518,0.17088567,3.100791893
noGravity,num_1_2024_04_26_19_16_59,0.039028003,-0.197584909,0.015542682,2.898940977
noGravity,num_2_2024_04_20_11_00_16,0.043658797,-0.26888315,0.051442041,2.807017614
noGravity,num_2_2024_04_20_14_34_38,0.017037358,0.041915047,-0.003401308,3.121532382
noGravity,num_2_2024_04_20_18_00_33,0.079471328,0.343545593,0.047780652,3.4467864
noGravity,num_3_2024_04_20_13_22_10,0.290891748,-0.025483184,0.390774503,3.04161721
noGravity,num_3_2024_04_20_15_27_02,0.026197171,0.199778775,0.04497429,3.309155066
noGravity,num_3_2024_04_20_18_56_45,0.16374924,0.348116661,0.115277927,3.458918512
horizontalMove,num_1_2024_04_20_10_06_59,-0.055466973,0.018694197,-0.055466973,0.018694197
horizontalMove,num_1_2024_04_20_13_43_37,-0.200414958,-0.055390178,-0.200414958,-0.055390178
horizontalMove,num_1_2024_04_20_16_16_52,0.036781136,0.008624476,0.036781136,0.008624476
horizontalMove,num_1_2024_04_26_19_16_59,-0.001079917,0.243464751,-0.001079917,0.243464751
horizontalMove,num_2_2024_04_20_11_00_16,0.01336286,-0.021584686,0.01336286,-0.021584686
horizontalMove,num_2_2024_04_20_14_34_38,0.043194569,-0.004681941,0.043194569,-0.004681941
horizontalMove,num_2_2024_04_20_18_00_33,-0.027799563,-0.001085612,-0.027799563,-0.001085612
horizontalMove,num_3_2024_04_20_13_22_10,0.148553139,-0.01834799,0.148553139,-0.01834799
horizontalMove,num_3_2024_04_20_15_27_02,0.075072529,0.101050128,0.075072529,0.101050128
horizontalMove,num_3_2024_04_20_18_56_45,0.078526706,0.036675841,0.078526706,0.036675841
