,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,1,Exp1,horizontal,Nothing,0.5034446716308594
0,2,1,Exp1,vertical,Nothing,0.5034446716308594
0,2,1,Exp2,"(0, 400)",水平误差,0.8523903723899606
0,2,1,Exp2,"(0, 800)",水平误差,0.9801121043528267
0,2,1,Exp2,"(45, 400)",水平误差,0.1485214521812991
0,2,1,Exp2,"(45, 800)",水平误差,0.3203000379148756
0,2,1,Exp2,"(90, 400)",水平误差,0.7048327646991299
0,2,1,Exp2,"(90, 800)",水平误差,0.7136741375073469
0,2,1,Exp2,"(135, 400)",水平误差,0.5517770055916404
0,2,1,Exp2,"(135, 800)",水平误差,0.520273959743194
0,2,1,Exp2,"(180, 400)",水平误差,0.07348289424794183
0,2,1,Exp2,"(180, 800)",水平误差,0.5794064492779665
0,2,1,Exp2,"(225, 400)",水平误差,0.4530043487580663
0,2,1,Exp2,"(225, 800)",水平误差,0.40030414872337416
0,2,1,Exp2,"(270, 400)",水平误差,0.24223788318168962
0,2,1,Exp2,"(270, 800)",水平误差,0.45112549605560787
0,2,1,Exp2,"(315, 400)",水平误差,0.994694958029855
0,2,1,Exp2,"(315, 800)",水平误差,0.10268569428920934
0,2,1,Exp2,"(0, 400)",垂直误差,0.8511944694027657
0,2,1,Exp2,"(0, 800)",垂直误差,0.3679037995596891
0,2,1,Exp2,"(45, 400)",垂直误差,0.3343050319667602
0,2,1,Exp2,"(45, 800)",垂直误差,0.36051814944299415
0,2,1,Exp2,"(90, 400)",垂直误差,0.32833515577048367
0,2,1,Exp2,"(90, 800)",垂直误差,0.0
0,2,1,Exp2,"(135, 400)",垂直误差,0.36632671003846917
0,2,1,Exp2,"(135, 800)",垂直误差,0.0990547439683098
0,2,1,Exp2,"(180, 400)",垂直误差,0.7462927313564742
0,2,1,Exp2,"(180, 800)",垂直误差,0.6343861897445835
0,2,1,Exp2,"(225, 400)",垂直误差,0.6418662867259156
0,2,1,Exp2,"(225, 800)",垂直误差,0.5072431488269901
0,2,1,Exp2,"(270, 400)",垂直误差,0.3511944694027576
0,2,1,Exp2,"(270, 800)",垂直误差,0.0
0,2,1,Exp2,"(315, 400)",垂直误差,0.4960458907708687
0,2,1,Exp2,"(315, 800)",垂直误差,0.4600050365729008
0,2,1,Exp2,"('斜向上', 400)",水平误差,0.8634041122964963
0,2,1,Exp2,"('斜向上', 800)",水平误差,0.8104615384659243
0,2,1,Exp2,"('斜向下', 400)",水平误差,0.42715326152132693
0,2,1,Exp2,"('斜向下', 800)",水平误差,0.041989963366650465
0,2,1,Exp2,"('水平', 400)",水平误差,0.17347854312476874
0,2,1,Exp2,"('水平', 800)",水平误差,0.626944948542789
0,2,1,Exp2,"('竖直', 400)",水平误差,0.16626016047845232
0,2,1,Exp2,"('竖直', 800)",水平误差,0.35443307839166327
0,2,1,Exp2,"('斜向上', 400)",垂直误差,0.13335063512046433
0,2,1,Exp2,"('斜向上', 800)",垂直误差,0.029844367612313665
0,2,1,Exp2,"('斜向下', 400)",垂直误差,0.256266811008745
0,2,1,Exp2,"('斜向下', 800)",垂直误差,0.18297643736252064
0,2,1,Exp2,"('水平', 400)",垂直误差,0.7882011971605262
0,2,1,Exp2,"('水平', 800)",垂直误差,0.6866307033578104
0,2,1,Exp2,"('竖直', 400)",垂直误差,0.08616053196713383
0,2,1,Exp2,"('竖直', 800)",垂直误差,0.2968713109071846
0,2,1,Exp3,gravity,xIfNoGravityPredictError,0.8274333442894856
0,2,1,Exp3,horizontalMove,xIfNoGravityPredictError,0.4965696679135499
0,2,1,Exp3,noGravity,xIfNoGravityPredictError,0.1318892294763416
0,2,1,Exp3,gravity,yIfNoGravityPredictError,0.17002958050644398
0,2,1,Exp3,horizontalMove,yIfNoGravityPredictError,0.6424120370101991
0,2,1,Exp3,noGravity,yIfNoGravityPredictError,0.8031808435881446
0,2,1,Exp3,gravity,xIfGravityPredictError,0.5185601801124565
0,2,1,Exp3,horizontalMove,xIfGravityPredictError,0.4965696679135499
0,2,1,Exp3,noGravity,xIfGravityPredictError,0.4039919704485672
0,2,1,Exp3,gravity,yIfGravityPredictError,0.6288930261888274
0,2,1,Exp3,horizontalMove,yIfGravityPredictError,0.6424120370101991
0,2,1,Exp3,noGravity,yIfGravityPredictError,0.05766610972447926
0,2,2,Exp1,horizontal,Nothing,0.8238029479980469
0,2,2,Exp1,vertical,Nothing,0.8238029479980469
0,2,2,Exp2,"(0, 400)",水平误差,0.24784672283231762
0,2,2,Exp2,"(0, 800)",水平误差,0.8071775040415469
0,2,2,Exp2,"(45, 400)",水平误差,0.21097360097633644
0,2,2,Exp2,"(45, 800)",水平误差,0.38133389676154056
0,2,2,Exp2,"(90, 400)",水平误差,0.999999999999991
0,2,2,Exp2,"(90, 800)",水平误差,0.6027345860618133
0,2,2,Exp2,"(135, 400)",水平误差,0.8687524196939915
0,2,2,Exp2,"(135, 800)",水平误差,0.6292765569691825
0,2,2,Exp2,"(180, 400)",水平误差,0.9701802760058986
0,2,2,Exp2,"(180, 800)",水平误差,0.39391620610711503
0,2,2,Exp2,"(225, 400)",水平误差,0.7641576180739966
0,2,2,Exp2,"(225, 800)",水平误差,0.6055799333735163
0,2,2,Exp2,"(270, 400)",水平误差,0.7951672353008584
0,2,2,Exp2,"(270, 800)",水平误差,0.5000000000000037
0,2,2,Exp2,"(315, 400)",水平误差,0.0
0,2,2,Exp2,"(315, 800)",水平误差,0.6047189096924688
0,2,2,Exp2,"(0, 400)",垂直误差,0.49999999999999956
0,2,2,Exp2,"(0, 800)",垂直误差,0.6771710655658096
0,2,2,Exp2,"(45, 400)",垂直误差,0.7168809116912285
0,2,2,Exp2,"(45, 800)",垂直误差,0.019965836363288608
0,2,2,Exp2,"(90, 400)",垂直误差,0.8758157406186766
0,2,2,Exp2,"(90, 800)",垂直误差,0.44556563940235533
0,2,2,Exp2,"(135, 400)",垂直误差,0.4797058378014835
0,2,2,Exp2,"(135, 800)",垂直误差,0.38777749462122646
0,2,2,Exp2,"(180, 400)",垂直误差,0.07916684832113136
0,2,2,Exp2,"(180, 800)",垂直误差,0.7951672353008712
0,2,2,Exp2,"(225, 400)",垂直误差,0.17892279297692623
0,2,2,Exp2,"(225, 800)",垂直误差,0.18152062055000484
0,2,2,Exp2,"(270, 400)",垂直误差,0.2899491573043055
0,2,2,Exp2,"(270, 800)",垂直误差,0.18338179313060743
0,2,2,Exp2,"(315, 400)",垂直误差,0.18899306043799885
0,2,2,Exp2,"(315, 800)",垂直误差,0.35918352619311306
0,2,2,Exp2,"('斜向上', 400)",水平误差,0.6697670195220125
0,2,2,Exp2,"('斜向上', 800)",水平误差,0.8817707382465149
0,2,2,Exp2,"('斜向下', 400)",水平误差,0.344067048414905
0,2,2,Exp2,"('斜向下', 800)",水平误差,0.9778088298847856
0,2,2,Exp2,"('水平', 400)",水平误差,0.7814811358797034
0,2,2,Exp2,"('水平', 800)",水平误差,0.596745130693001
