,ID,systemTime,conditions,directions,responses,RT,isCorrect,ID_Index
0,1,2024-04-20 09:59:03,vertical,U2D,R,10108,[1],EXP1_formal_1_2024-04-20 09_59_03
1,1,2024-04-20 09:59:03,vertical,D2U,R,1351,[1],EXP1_formal_1_2024-04-20 09_59_03
2,1,2024-04-20 09:59:03,horizontal,L2R,R,1747,[1],EXP1_formal_1_2024-04-20 09_59_03
3,1,2024-04-20 09:59:03,horizontal,R2L,R,2666,[1],EXP1_formal_1_2024-04-20 09_59_03
4,1,2024-04-20 09:59:03,vertical,D2U,L,1423,[1],EXP1_formal_1_2024-04-20 09_59_03
5,1,2024-04-20 09:59:03,horizontal,R2L,R,5415,[1],EXP1_formal_1_2024-04-20 09_59_03
6,1,2024-04-20 09:59:03,horizontal,L2R,R,7832,[1],EXP1_formal_1_2024-04-20 09_59_03
7,1,2024-04-20 09:59:03,vertical,U2D,L,1612,[1],EXP1_formal_1_2024-04-20 09_59_03
8,1,2024-04-20 09:59:03,horizontal,L2R,L,2562,[1],EXP1_formal_1_2024-04-20 09_59_03
9,1,2024-04-20 09:59:03,horizontal,R2L,R,1662,[1],EXP1_formal_1_2024-04-20 09_59_03
10,1,2024-04-20 09:59:03,vertical,U2D,L,2440,[1],EXP1_formal_1_2024-04-20 09_59_03
11,1,2024-04-20 09:59:03,vertical,D2U,R,1124,[1],EXP1_formal_1_2024-04-20 09_59_03
12,1,2024-04-20 09:59:03,horizontal,R2L,L,940,[1],EXP1_formal_1_2024-04-20 09_59_03
13,1,2024-04-20 09:59:03,vertical,D2U,R,854,[1],EXP1_formal_1_2024-04-20 09_59_03
14,1,2024-04-20 09:59:03,vertical,U2D,L,2986,[1],EXP1_formal_1_2024-04-20 09_59_03
15,1,2024-04-20 09:59:03,horizontal,L2R,L,3509,[1],EXP1_formal_1_2024-04-20 09_59_03
16,1,2024-04-20 09:59:03,horizontal,L2R,L,2362,[1],EXP1_formal_1_2024-04-20 09_59_03
17,1,2024-04-20 09:59:03,vertical,D2U,L,2407,[1],EXP1_formal_1_2024-04-20 09_59_03
18,1,2024-04-20 09:59:03,horizontal,R2L,L,2910,[0],EXP1_formal_1_2024-04-20 09_59_03
19,1,2024-04-20 09:59:03,vertical,U2D,R,2154,[1],EXP1_formal_1_2024-04-20 09_59_03
20,1,2024-04-20 13:36:32,horizontal,L2R,L,773,[1],EXP1_formal_1_2024-04-20 13_36_32
21,1,2024-04-20 13:36:32,horizontal,R2L,L,704,[1],EXP1_formal_1_2024-04-20 13_36_32
22,1,2024-04-20 13:36:32,vertical,D2U,R,444,[1],EXP1_formal_1_2024-04-20 13_36_32
23,1,2024-04-20 13:36:32,vertical,U2D,L,486,[0],EXP1_formal_1_2024-04-20 13_36_32
24,1,2024-04-20 13:36:32,horizontal,R2L,L,411,[1],EXP1_formal_1_2024-04-20 13_36_32
25,1,2024-04-20 13:36:32,vertical,D2U,R,488,[0],EXP1_formal_1_2024-04-20 13_36_32
26,1,2024-04-20 13:36:32,horizontal,L2R,L,488,[1],EXP1_formal_1_2024-04-20 13_36_32
27,1,2024-04-20 13:36:32,vertical,U2D,R,371,[1],EXP1_formal_1_2024-04-20 13_36_32
28,1,2024-04-20 13:36:32,horizontal,R2L,L,519,[1],EXP1_formal_1_2024-04-20 13_36_32
29,1,2024-04-20 13:36:32,vertical,D2U,L,467,[1],EXP1_formal_1_2024-04-20 13_36_32
30,1,2024-04-20 13:36:32,horizontal,L2R,R,383,[1],EXP1_formal_1_2024-04-20 13_36_32
31,1,2024-04-20 13:36:32,vertical,U2D,R,524,[1],EXP1_formal_1_2024-04-20 13_36_32
32,1,2024-04-20 13:36:32,horizontal,R2L,R,371,[0],EXP1_formal_1_2024-04-20 13_36_32
33,1,2024-04-20 13:36:32,horizontal,L2R,L,412,[1],EXP1_formal_1_2024-04-20 13_36_32
34,1,2024-04-20 13:36:32,vertical,U2D,R,366,[1],EXP1_formal_1_2024-04-20 13_36_32
35,1,2024-04-20 13:36:32,vertical,D2U,L,435,[1],EXP1_formal_1_2024-04-20 13_36_32
36,1,2024-04-20 13:36:32,vertical,U2D,R,455,[1],EXP1_formal_1_2024-04-20 13_36_32
37,1,2024-04-20 13:36:32,horizontal,L2R,L,350,[0],EXP1_formal_1_2024-04-20 13_36_32
38,1,2024-04-20 13:36:32,horizontal,R2L,L,1121,[1],EXP1_formal_1_2024-04-20 13_36_32
39,1,2024-04-20 13:36:32,vertical,D2U,L,383,[1],EXP1_formal_1_2024-04-20 13_36_32
40,1,2024-04-20 16:09:33,vertical,D2U,L,1277,[1],EXP1_formal_1_2024-04-20 16_09_33
41,1,2024-04-20 16:09:33,horizontal,R2L,R,2387,[0],EXP1_formal_1_2024-04-20 16_09_33
42,1,2024-04-20 16:09:33,vertical,U2D,L,665,[1],EXP1_formal_1_2024-04-20 16_09_33
43,1,2024-04-20 16:09:33,horizontal,L2R,L,709,[1],EXP1_formal_1_2024-04-20 16_09_33
44,1,2024-04-20 16:09:33,horizontal,R2L,L,520,[0],EXP1_formal_1_2024-04-20 16_09_33
45,1,2024-04-20 16:09:33,vertical,D2U,L,800,[1],EXP1_formal_1_2024-04-20 16_09_33
46,1,2024-04-20 16:09:33,horizontal,L2R,L,497,[1],EXP1_formal_1_2024-04-20 16_09_33
47,1,2024-04-20 16:09:33,vertical,U2D,L,569,[1],EXP1_formal_1_2024-04-20 16_09_33
48,1,2024-04-20 16:09:33,horizontal,L2R,L,786,[0],EXP1_formal_1_2024-04-20 16_09_33
49,1,2024-04-20 16:09:33,horizontal,R2L,L,447,[0],EXP1_formal_1_2024-04-20 16_09_33
50,1,2024-04-20 16:09:33,vertical,D2U,L,785,[1],EXP1_formal_1_2024-04-20 16_09_33
51,1,2024-04-20 16:09:33,vertical,U2D,L,686,[1],EXP1_formal_1_2024-04-20 16_09_33
52,1,2024-04-20 16:09:33,vertical,U2D,L,502,[0],EXP1_formal_1_2024-04-20 16_09_33
53,1,2024-04-20 16:09:33,horizontal,R2L,R,1492,[1],EXP1_formal_1_2024-04-20 16_09_33
54,1,2024-04-20 16:09:33,horizontal,L2R,L,693,[0],EXP1_formal_1_2024-04-20 16_09_33
55,1,2024-04-20 16:09:33,vertical,D2U,L,684,[0],EXP1_formal_1_2024-04-20 16_09_33
56,1,2024-04-20 16:09:33,vertical,U2D,L,658,[1],EXP1_formal_1_2024-04-20 16_09_33
57,1,2024-04-20 16:09:33,horizontal,R2L,L,725,[1],EXP1_formal_1_2024-04-20 16_09_33
58,1,2024-04-20 16:09:33,horizontal,L2R,L,475,[1],EXP1_formal_1_2024-04-20 16_09_33
59,1,2024-04-20 16:09:33,vertical,D2U,L,383,[1],EXP1_formal_1_2024-04-20 16_09_33
60,1,2024-04-26 19:10:06,vertical,D2U,L,797,[1],EXP1_formal_1_2024-04-26 19_10_06
61,1,2024-04-26 19:10:06,horizontal,R2L,L,1720,[0],EXP1_formal_1_2024-04-26 19_10_06
62,1,2024-04-26 19:10:06,vertical,U2D,R,656,[1],EXP1_formal_1_2024-04-26 19_10_06
63,1,2024-04-26 19:10:06,horizontal,L2R,L,370,[0],EXP1_formal_1_2024-04-26 19_10_06
64,1,2024-04-26 19:10:06,horizontal,L2R,R,463,[0],EXP1_formal_1_2024-04-26 19_10_06
65,1,2024-04-26 19:10:06,vertical,U2D,R,434,[1],EXP1_formal_1_2024-04-26 19_10_06
66,1,2024-04-26 19:10:06,vertical,D2U,L,413,[1],EXP1_formal_1_2024-04-26 19_10_06
67,1,2024-04-26 19:10:06,horizontal,R2L,R,1038,[1],EXP1_formal_1_2024-04-26 19_10_06
68,1,2024-04-26 19:10:06,horizontal,L2R,R,331,[1],EXP1_formal_1_2024-04-26 19_10_06
69,1,2024-04-26 19:10:06,horizontal,R2L,R,363,[1],EXP1_formal_1_2024-04-26 19_10_06
70,1,2024-04-26 19:10:06,vertical,D2U,L,392,[0],EXP1_formal_1_2024-04-26 19_10_06
71,1,2024-04-26 19:10:06,vertical,U2D,R,458,[1],EXP1_formal_1_2024-04-26 19_10_06
72,1,2024-04-26 19:10:06,vertical,D2U,R,349,[1],EXP1_formal_1_2024-04-26 19_10_06
73,1,2024-04-26 19:10:06,horizontal,R2L,L,359,[1],EXP1_formal_1_2024-04-26 19_10_06
74,1,2024-04-26 19:10:06,horizontal,L2R,R,394,[1],EXP1_formal_1_2024-04-26 19_10_06
75,1,2024-04-26 19:10:06,vertical,U2D,R,362,[1],EXP1_formal_1_2024-04-26 19_10_06
76,1,2024-04-26 19:10:06,vertical,D2U,R,331,[1],EXP1_formal_1_2024-04-26 19_10_06
77,1,2024-04-26 19:10:06,horizontal,L2R,R,362,[1],EXP1_formal_1_2024-04-26 19_10_06
78,1,2024-04-26 19:10:06,vertical,U2D,L,605,[1],EXP1_formal_1_2024-04-26 19_10_06
79,1,2024-04-26 19:10:06,horizontal,R2L,R,272,[1],EXP1_formal_1_2024-04-26 19_10_06
80,2,2024-04-20 10:52:49,horizontal,L2R,L,5836,[1],EXP1_formal_2_2024-04-20 10_52_49
81,2,2024-04-20 10:52:49,horizontal,R2L,L,1192,[1],EXP1_formal_2_2024-04-20 10_52_49
82,2,2024-04-20 10:52:49,vertical,D2U,L,594,[1],EXP1_formal_2_2024-04-20 10_52_49
83,2,2024-04-20 10:52:49,vertical,U2D,R,766,[1],EXP1_formal_2_2024-04-20 10_52_49
84,2,2024-04-20 10:52:49,vertical,U2D,R,595,[1],EXP1_formal_2_2024-04-20 10_52_49
85,2,2024-04-20 10:52:49,vertical,D2U,L,1408,[1],EXP1_formal_2_2024-04-20 10_52_49
