,ID,trial,system_time,launch_ori,launch_speed,true_pos,straight_pos,click_pos,prediction_error,score,reaction_time,ID_Index
0,1,1,2024-04-20 10:04:02,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[327, -66]",30.4320368192726,94,1744,1 2024-04-20 10_03_57
1,1,2,2024-04-20 10:04:05,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[86, 172]",465.5479079543741,60,972,1 2024-04-20 10_03_57
2,1,3,2024-04-20 10:04:09,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[97, -298]",5.425673601293979,99,1032,1 2024-04-20 10_03_57
3,1,4,2024-04-20 10:04:13,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[310, 164]",30.309849670812333,94,1788,1 2024-04-20 10_03_57
4,1,5,2024-04-20 10:04:17,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-135, -246]",51.5862228761818,91,1357,1 2024-04-20 10_03_57
5,1,6,2024-04-20 10:04:20,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[323, -69]",27.367453192974622,95,902,1 2024-04-20 10_03_57
6,1,7,2024-04-20 10:04:23,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[90, -292]",4.2647314133222185,99,868,1 2024-04-20 10_03_57
7,1,8,2024-04-20 10:04:27,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-140, -62]",34.507537394225615,94,1006,1 2024-04-20 10_03_57
8,1,9,2024-04-20 10:04:30,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[299, 164]",119.69212047120251,80,1230,1 2024-04-20 10_03_57
9,1,10,2024-04-20 10:04:34,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[98, -300]",7.649919434942563,98,783,1 2024-04-20 10_03_57
10,1,11,2024-04-20 10:04:36,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-142, -61]",35.75623542393167,94,821,1 2024-04-20 10_03_57
11,1,12,2024-04-20 10:04:40,180,534.4444444444445,"[-136.47916666666666, -71.3318626680516]","[-136.47916666666666, -62.99999999999997]","[-140, -68]",4.8474298550744495,99,1213,1 2024-04-20 10_03_57
12,1,13,2024-04-20 10:04:43,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[309, -295]",6.355590227785791,98,1173,1 2024-04-20 10_03_57
13,1,14,2024-04-20 10:04:48,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-116, -299]",30.36997142049008,94,2165,1 2024-04-20 10_03_57
14,1,15,2024-04-20 10:04:52,315,534.4444444444445,"[302.82905249449095, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[307, -295]",4.439564969846712,99,1064,1 2024-04-20 10_03_57
15,1,16,2024-04-20 10:04:55,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[289, -294]",14.873073109929996,97,1184,1 2024-04-20 10_03_57
16,1,17,2024-04-20 10:05:01,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-136, 84]",36.95188100604062,93,2303,1 2024-04-20 10_03_57
17,1,18,2024-04-20 10:05:04,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-140, -284]",54.69167950707816,90,1333,1 2024-04-20 10_03_57
18,1,19,2024-04-20 10:05:08,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[91, 166]",459.48896025986784,60,1248,1 2024-04-20 10_03_57
19,1,20,2024-04-20 10:05:12,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[95, 166]",1.785478655088803,99,1253,1 2024-04-20 10_03_57
20,1,21,2024-04-20 10:05:15,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[90, -291]",4.705982082531826,99,894,1 2024-04-20 10_03_57
21,1,22,2024-04-20 10:05:19,45,534.4444444444445,"[324.47916666666663, 137.3721814692579]","[324.47916666666663, 167.47916666666666]","[320, 127]",11.298012323368846,98,1856,1 2024-04-20 10_03_57
22,1,23,2024-04-20 10:05:23,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-140, -58]",38.48882620178915,93,1102,1 2024-04-20 10_03_57
23,1,24,2024-04-20 10:05:29,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-144, -98]",145.24607072983906,75,2864,1 2024-04-20 10_03_57
24,1,25,2024-04-20 10:05:33,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-96, -292]",9.974239890591942,98,1413,1 2024-04-20 10_03_57
25,1,26,2024-04-20 10:05:37,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[324, -72]",24.332169177923383,95,1776,1 2024-04-20 10_03_57
26,1,27,2024-04-20 10:05:41,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-136, 61]",13.957001835209384,97,1218,1 2024-04-20 10_03_57
27,1,28,2024-04-20 10:05:45,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[92, -295]",2.5125552785516425,99,1842,1 2024-04-20 10_03_57
28,1,29,2024-04-20 10:05:48,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[95, -289]",4.589437223427021,99,777,1 2024-04-20 10_03_57
29,1,30,2024-04-20 10:05:52,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[250, -295]",24.18391614610173,95,1022,1 2024-04-20 10_03_57
30,1,31,2024-04-20 10:05:54,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[320, -62]",10.351163938570052,98,868,1 2024-04-20 10_03_57
31,1,32,2024-04-20 10:05:57,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-116, -298]",4.670016283530025,99,1127,1 2024-04-20 10_03_57
