,Unnamed: 0,idNum,systemTime,trail,moveCondition,leapDirection,trajetoryIndex,chaseTheta,frogDisappearPos,frogPos,mousePos,predictError,predictScore,reactionTime,ID_Index
0,0,1,2024-04-20 10:08:36,1,1,-1,68,68.29033002943366,"(1.1447358853093703, 0.6137778299652661)","(0.7184189476806147, 0.9691556912430251)","(0.8215779732049524, 0.25875250544244444)",1.4357081471423714,71,935,num_1_2024_04_20_10_06_59
1,1,1,2024-04-20 10:08:41,2,1,-1,65,67.62056596293183,"(1.0662726024408489, 0.5566691977618783)","(0.545799725369867, 0.8206732475142173)","(0.46554141532323806, 0.14007365281520623)",1.37063081044605,72,2867,num_1_2024_04_20_10_06_59
2,2,1,2024-04-20 10:08:47,3,1,-1,35,55.80007091662368,"(0.9849592357864615, 0.4240740429034966)","(0.3669103187302152, 0.4759258448824244)","(0.5806239390829842, 0.6111927344566667)",0.5058483683452096,89,1194,num_1_2024_04_20_10_06_59
3,3,1,2024-04-20 10:08:52,4,1,1,47,76.75770393193463,"(0.2975427024350399, 0.6232435769287538)","(0.5345939453570879, 0.9937666333480936)","(0.36484420703346027, 0.5932110901192063)",0.8700798052416321,82,5244,num_1_2024_04_20_10_06_59
4,4,1,2024-04-20 10:09:01,5,1,1,2,70.57753575962263,"(0.5097228188137443, 0.5789568016120066)","(1.0013902013902378, 0.8786210175245505)","(0.7784220267950477, 0.7838165200962858)",0.4845727999586317,90,877,num_1_2024_04_20_10_06_59
5,5,1,2024-04-20 10:09:06,6,1,-1,2,47.90097196569349,"(0.9452779158211317, 0.30067615225376576)","(0.27961141480649004, 0.15509132919312552)","(0.5410643215405714, 0.2551561765749524)",0.5598949762991218,88,939,num_1_2024_04_20_10_06_59
6,6,1,2024-04-20 10:09:10,7,1,1,81,58.59238414868096,"(0.574959268155825, 0.5022073766817463)","(1.1449103899428141, 0.6790725127058743)","(1.0948989671343492, 0.7298715870839048)",0.142571923869908,97,909,num_1_2024_04_20_10_06_59
7,7,1,2024-04-20 10:09:15,8,1,-1,29,51.8776660788918,"(0.9768764530939753, 0.40371664536925356)","(0.3491281968067463, 0.4229966112933927)","(0.4691377441907301, 0.4637432508894921)",0.2534764691381279,94,878,num_1_2024_04_20_10_06_59
8,8,1,2024-04-20 10:09:19,9,1,1,29,63.70870678573228,"(0.5617069778425706, 0.5219530940991004)","(1.115755351253656, 0.7304113779909945)","(1.076917322796889, 0.7838165200962858)",0.132068189321956,97,913,num_1_2024_04_20_10_06_59
9,9,1,2024-04-20 10:09:24,10,1,-1,96,58.38153927692299,"(1.0085215812977635, 0.47410474793107493)","(0.4187474788550804, 0.6060056779541284)","(0.4367707843833016, 0.7658348757588255)",0.3216843919934978,93,1401,num_1_2024_04_20_10_06_59
10,10,1,2024-04-20 10:09:29,11,1,1,27,52.8302975332493,"(0.6417140508048746, 0.3482696337446487)","(1.2917709117707246, 0.2788343810694196)","(1.080513651664381, 0.6975046272764762)",0.9379006450722096,81,2690,num_1_2024_04_20_10_06_59
11,11,1,2024-04-20 10:09:35,12,1,1,56,54.36225145168987,"(0.6388060275117547, 0.3577898662942136)","(1.2853732605258599, 0.3035869856982891)","(1.303486041448889, 0.43137629108206355)",0.2581331393156113,94,1782,num_1_2024_04_20_10_06_59
12,12,1,2024-04-20 10:09:40,13,1,1,69,76.19300838769689,"(0.4095973863825877, 0.6275758199441694)","(0.781114250041693, 1.0050304651881743)","(0.9222751814947302, 0.6615413386015556)",0.7427279142510458,85,2315,num_1_2024_04_20_10_06_59
13,13,1,2024-04-20 10:09:46,14,1,-1,27,72.82627687848684,"(1.2377169322358974, 0.6323397011919311)","(0.9229772509189729, 1.0174165564323543)","(0.8143853154699683, 0.6004037478541905)",0.8618396392898369,82,2357,num_1_2024_04_20_10_06_59
14,14,1,2024-04-20 10:09:52,15,1,1,43,55.33478637690986,"(0.6312110956662101, 0.38098979555317514)","(1.2686644104656628, 0.3639068017715885)","(1.2567337661714921, 0.6615413386015556)",0.5957471201349213,88,1026,num_1_2024_04_20_10_06_59
15,15,1,2024-04-20 10:09:57,16,1,1,36,82.24406313545579,"(0.2836996733272905, 0.6196152332227246)","(0.5041392813200386, 0.9843329397124183)","(0.5015047039981587, 0.909688030458508)",0.1493827764528356,97,769,num_1_2024_04_20_10_06_59
16,16,1,2024-04-20 10:10:01,17,1,1,35,68.6747217847006,"(0.5227614032045275, 0.5672722948809523)","(1.0300750870499595, 0.8482413000238094)","(0.9582384701696509, 0.8629357551811112)",0.1466482395008981,97,665,num_1_2024_04_20_10_06_59
17,17,1,2024-04-20 10:10:05,18,1,1,53,62.10322470772808,"(0.5974528705577111, 0.46218357980627855)","(1.1943963152269639, 0.575010640829658)","(1.2027888331591112, 0.8089908221687302)",0.4682612929410524,90,624,num_1_2024_04_20_10_06_59
18,18,1,2024-04-20 10:10:09,19,1,-1,56,60.06811356690108,"(0.9905135147556589, 0.4370267092175677)","(0.3791297324624501, 0.5096027772990093)","(0.5878165968179683, 0.6723303252040318)",0.5292653859897504,89,906,num_1_2024_04_20_10_06_59
19,19,1,2024-04-20 10:10:14,20,1,1,78,46.58425472510347,"(0.6624793716942662, 0.2667011063567297)","(1.3374546177273856, 0.06675620986083053)","(1.2855043971114286, 0.4421652776845397)",0.7579730697757352,84,771,num_1_2024_04_20_10_06_59
20,20,1,2024-04-20 10:10:18,21,1,1,21,83.63572295045059,"(0.19928749966229442, 0.5858451924777532)","(0.3184324992570475, 0.8965308337754919)","(0.3828258513709206, 1.0211742253507619)",0.2805885162286392,94,874,num_1_2024_04_20_10_06_59
21,21,1,2024-04-20 10:10:23,22,1,1,93,71.97123688942273,"(0.3875449051544379, 0.630730365291979)","(0.732598791339764, 1.0132322830924787)","(0.6453578586978412, 0.8305687953736826)",0.4048551843502923,91,568,num_1_2024_04_20_10_06_59
22,22,1,2024-04-20 10:10:27,23,1,-1,7,49.75620738823447,"(0.9395004647384475, 0.2759975411078266)","(0.26690102242458413, 0.09092694021368186)","(0.3864221802384127, 0.2443671899724762)",0.3889946910239228,92,193,num_1_2024_04_20_10_06_59
23,23,1,2024-04-20 10:10:31,24,1,-1,47,73.38791063278374,"(1.2165640017487132, 0.6316789508514788)","(0.8764408038471694, 1.0156986055471782)","(0.9150825237597461, 0.9348623325309524)",0.1791947047538605,96,255,num_1_2024_04_20_10_06_59
24,24,1,2024-04-20 10:10:35,25,1,-1,69,75.67994750474882,"(1.2021963207076654, 0.6301362636862918)","(0.8448319055568642, 1.0116876189176915)","(0.9402568258321905, 0.9924035944108255)",0.1947078736028289,96,238,num_1_2024_04_20_10_06_59
25,25,1,2024-04-20 10:10:38,26,1,-1,21,71.7650776760322,"(1.1656531669616494, 0.621777358546233)","(0.7644369673156286, 0.9899544655535387)","(0.8359632886749206, 0.9888072655433334)",0.1430710413054456,97,197,num_1_2024_04_20_10_06_59
26,26,1,2024-04-20 10:10:42,27,1,-1,43,79.26175706156096,"(1.2599859792015726, 0.6311182476553404)","(0.9719691542434602, 1.014240777237218)","(0.8035963288674921, 1.0247705542182541)",0.3374035241567972,93,218,num_1_2024_04_20_10_06_59
27,27,1,2024-04-20 10:10:46,28,1,1,68,78.01794588360099,"(0.3388996746620774, 0.6303802491116046)","(0.625579284256571, 1.0123219810235056)","(0.7712293690600636, 1.078715487230635)",0.3201377507870054,93,879,num_1_2024_04_20_10_06_59
28,28,1,2024-04-20 10:10:50,29,1,-1,36,66.62010618021377,"(1.1187292598903262, 0.6000526769006016)","(0.6612043717587186, 0.9334702932748975)","(0.8647339196148572, 0.9312660036634604)",0.4070829681684819,91,31,num_1_2024_04_20_10_06_59
29,29,1,2024-04-20 10:10:54,30,1,1,22,69.10115044450289,"(0.43186138929251394, 0.6219929490029672)","(0.8300950564435303, 0.9905150007410477)","(0.7928073422650159, 1.0607338428931747)",0.1590101810808844,96,131,num_1_2024_04_20_10_06_59
30,30,1,2024-04-20 10:10:58,31,1,1,96,67.25626922412586,"(0.47245498686286735, 0.6046725423434327)","(0.9194009710983087, 0.9454819434262592)","(0.7784220267950477, 1.03555954082073)",0.3345984834946048,93,77,num_1_2024_04_20_10_06_59
31,31,1,2024-04-20 10:11:01,32,1,-1,78,48.47402835488167,"(0.9622438089359266, 0.3614394265163037)","(0.31693637965903876, 0.31307584227572294)","(0.49071571739568254, 0.6615413386015556)",0.7787874173451839,84,224,num_1_2024_04_20_10_06_59
32,32,1,2024-04-20 10:11:05,33,1,-1,53,76.92991418750447,"(1.2032329680506635, 0.6302786636147465)","(0.8471125297114596, 1.0120578587316742)","(0.9042935371572699, 1.082311816098127)",0.181166068988265,96,356,num_1_2024_04_20_10_06_59
33,33,1,2024-04-20 10:11:09,34,1,-1,22,57.051532388786285,"(0.9914559468884415, 0.43914729236027505)","(0.38120308315457235, 0.5151162934700484)","(0.42238546891333334, 0.5680367880467618)",0.1341129023327339,97,417,num_1_2024_04_20_10_06_59
34,34,1,2024-04-20 10:11:13,35,1,-1,93,74.83582206810402,"(1.1529444979607604, 0.6172200027506677)","(0.736477895513673, 0.9781053404850685)","(0.5842202679504762, 0.9384586613984445)",0.3146696319238379,93,249,num_1_2024_04_20_10_06_59
35,35,1,2024-04-20 10:11:17,36,1,-1,57,68.96125880026203,"(1.1424895058707714, 0.6127647554896284)","(0.7134769129156968, 0.9665216976063675)","(0.6381652009628571, 0.6399633653966031)",0.6702602428695598,86,386,num_1_2024_04_20_10_06_59
36,36,1,2024-04-20 10:11:21,37,1,1,7,81.00196318918373,"(0.20489972931195805, 0.5886582437847077)","(0.33077940448630866, 0.903844767173573)","(0.4008074957083809, 0.8988990438560318)",0.1404050389315219,97,280,num_1_2024_04_20_10_06_59
37,37,1,2024-04-20 10:11:25,38,1,-1,81,70.69597543493585,"(1.09411685594074, 0.58261558889274)","(0.6070570830696295, 0.8881338644544577)","(0.6885138051077461, 0.5824221035167301)",0.6327554925588283,87,309,num_1_2024_04_20_10_06_59
