,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,1,Exp1,D2U,None,0.34375
0,2,1,Exp1,L2R,None,0.109375
0,2,1,Exp1,R2L,None,0.34375
0,2,1,Exp1,U2D,None,0.001953125
0,2,1,Exp2,"(0, 267.22222222222223)",prediction_error,0.0005387697136184922
0,2,1,Exp2,"(0, 534.4444444444445)",prediction_error,0.00841784482485163
0,2,1,Exp2,"(45, 267.22222222222223)",prediction_error,0.020013707725056798
0,2,1,Exp2,"(45, 534.4444444444445)",prediction_error,0.025638331248418092
0,2,1,Exp2,"(90, 267.22222222222223)",prediction_error,0.0013828564424815692
0,2,1,Exp2,"(90, 534.4444444444445)",prediction_error,0.004785224357909005
0,2,1,Exp2,"(135, 267.22222222222223)",prediction_error,0.018013268708515797
0,2,1,Exp2,"(135, 534.4444444444445)",prediction_error,0.013303592424145297
0,2,1,Exp2,"(180, 267.22222222222223)",prediction_error,0.0010319237157384701
0,2,1,Exp2,"(180, 534.4444444444445)",prediction_error,8.691984501003524e-05
0,2,1,Exp2,"(225, 267.22222222222223)",prediction_error,0.02119315806417727
0,2,1,Exp2,"(225, 534.4444444444445)",prediction_error,0.017075848736532177
0,2,1,Exp2,"(270, 267.22222222222223)",prediction_error,0.018854063411512068
0,2,1,Exp2,"(270, 534.4444444444445)",prediction_error,0.01675239474912048
0,2,1,Exp2,"(315, 267.22222222222223)",prediction_error,0.023054863178346784
0,2,1,Exp2,"(315, 534.4444444444445)",prediction_error,0.03200681615375752
0,2,1,Exp2,"(0, 267.22222222222223)",prediction_error,0.0005387697136184922
0,2,1,Exp2,"(0, 534.4444444444445)",prediction_error,0.00841784482485163
0,2,1,Exp2,"(45, 267.22222222222223)",prediction_error,0.020013707725056798
0,2,1,Exp2,"(45, 534.4444444444445)",prediction_error,0.025638331248418092
0,2,1,Exp2,"(90, 267.22222222222223)",prediction_error,0.0013828564424815692
0,2,1,Exp2,"(90, 534.4444444444445)",prediction_error,0.004785224357909005
0,2,1,Exp2,"(135, 267.22222222222223)",prediction_error,0.018013268708515797
0,2,1,Exp2,"(135, 534.4444444444445)",prediction_error,0.013303592424145297
0,2,1,Exp2,"(180, 267.22222222222223)",prediction_error,0.0010319237157384701
0,2,1,Exp2,"(180, 534.4444444444445)",prediction_error,8.691984501003524e-05
0,2,1,Exp2,"(225, 267.22222222222223)",prediction_error,0.02119315806417727
0,2,1,Exp2,"(225, 534.4444444444445)",prediction_error,0.017075848736532177
0,2,1,Exp2,"(270, 267.22222222222223)",prediction_error,0.018854063411512068
0,2,1,Exp2,"(270, 534.4444444444445)",prediction_error,0.01675239474912048
0,2,1,Exp2,"(315, 267.22222222222223)",prediction_error,0.023054863178346784
0,2,1,Exp2,"(315, 534.4444444444445)",prediction_error,0.03200681615375752
0,2,1,Exp3,"(1, -1)",predictError,2.998286722864665e-19
0,2,1,Exp3,"(1, 1)",predictError,5.40353776076146e-16
0,2,1,Exp3,"(2, -1)",predictError,8.261565244871327e-13
0,2,1,Exp3,"(2, 1)",predictError,1.7777148821656486e-15
0,2,1,Exp3,"(3, -1)",predictError,1.3522890423509006e-11
0,2,1,Exp3,"(3, 1)",predictError,2.9272548941084926e-12
0,2,2,Exp1,D2U,None,1.0
0,2,2,Exp1,L2R,None,1.0
0,2,2,Exp1,R2L,None,0.75390625
0,2,2,Exp1,U2D,None,0.001953125
0,2,2,Exp2,"(0, 267.22222222222223)",prediction_error,1.592977225930342e-05
0,2,2,Exp2,"(0, 534.4444444444445)",prediction_error,0.007967978933777684
0,2,2,Exp2,"(45, 267.22222222222223)",prediction_error,2.737524790602771e-08
0,2,2,Exp2,"(45, 534.4444444444445)",prediction_error,0.00010366847100788636
0,2,2,Exp2,"(90, 267.22222222222223)",prediction_error,7.523897702595383e-11
0,2,2,Exp2,"(90, 534.4444444444445)",prediction_error,0.001173479718775939
0,2,2,Exp2,"(135, 267.22222222222223)",prediction_error,7.0595086303844734e-06
0,2,2,Exp2,"(135, 534.4444444444445)",prediction_error,0.007451200863634008
0,2,2,Exp2,"(180, 267.22222222222223)",prediction_error,5.336404003246254e-05
0,2,2,Exp2,"(180, 534.4444444444445)",prediction_error,0.0014432682970104778
0,2,2,Exp2,"(225, 267.22222222222223)",prediction_error,1.9906753752190328e-05
0,2,2,Exp2,"(225, 534.4444444444445)",prediction_error,0.004410933980861082
0,2,2,Exp2,"(270, 267.22222222222223)",prediction_error,0.0040723278927307415
0,2,2,Exp2,"(270, 534.4444444444445)",prediction_error,0.005263454517557253
0,2,2,Exp2,"(315, 267.22222222222223)",prediction_error,1.871014134119445e-05
0,2,2,Exp2,"(315, 534.4444444444445)",prediction_error,0.00453780451712818
0,2,2,Exp2,"(0, 267.22222222222223)",prediction_error,1.592977225930342e-05
0,2,2,Exp2,"(0, 534.4444444444445)",prediction_error,0.007967978933777684
0,2,2,Exp2,"(45, 267.22222222222223)",prediction_error,2.737524790602771e-08
0,2,2,Exp2,"(45, 534.4444444444445)",prediction_error,0.00010366847100788636
0,2,2,Exp2,"(90, 267.22222222222223)",prediction_error,7.523897702595383e-11
0,2,2,Exp2,"(90, 534.4444444444445)",prediction_error,0.001173479718775939
0,2,2,Exp2,"(135, 267.22222222222223)",prediction_error,7.0595086303844734e-06
0,2,2,Exp2,"(135, 534.4444444444445)",prediction_error,0.007451200863634008
0,2,2,Exp2,"(180, 267.22222222222223)",prediction_error,5.336404003246254e-05
0,2,2,Exp2,"(180, 534.4444444444445)",prediction_error,0.0014432682970104778
0,2,2,Exp2,"(225, 267.22222222222223)",prediction_error,1.9906753752190328e-05
0,2,2,Exp2,"(225, 534.4444444444445)",prediction_error,0.004410933980861082
0,2,2,Exp2,"(270, 267.22222222222223)",prediction_error,0.0040723278927307415
0,2,2,Exp2,"(270, 534.4444444444445)",prediction_error,0.005263454517557253
0,2,2,Exp2,"(315, 267.22222222222223)",prediction_error,1.871014134119445e-05
0,2,2,Exp2,"(315, 534.4444444444445)",prediction_error,0.00453780451712818
0,2,2,Exp3,"(1, -1)",predictError,3.2975969369390356e-13
0,2,2,Exp3,"(1, 1)",predictError,2.2706288347332163e-14
0,2,2,Exp3,"(2, -1)",predictError,6.036009833120749e-11
0,2,2,Exp3,"(2, 1)",predictError,5.497014599760811e-15
0,2,2,Exp3,"(3, -1)",predictError,2.849615975728775e-10
0,2,2,Exp3,"(3, 1)",predictError,1.3290510289474175e-09
0,2,3,Exp1,D2U,None,1.0
0,2,3,Exp1,L2R,None,0.75390625
0,2,3,Exp1,R2L,None,0.75390625
0,2,3,Exp1,U2D,None,0.021484375
0,2,3,Exp2,"(0, 267.22222222222223)",prediction_error,0.000984543437195862
0,2,3,Exp2,"(0, 534.4444444444445)",prediction_error,0.00033300430363561337
0,2,3,Exp2,"(45, 267.22222222222223)",prediction_error,3.3117009634245213e-06
0,2,3,Exp2,"(45, 534.4444444444445)",prediction_error,0.003399632791697126
0,2,3,Exp2,"(90, 267.22222222222223)",prediction_error,1.784440067458735e-10
0,2,3,Exp2,"(90, 534.4444444444445)",prediction_error,0.011799815004958754
0,2,3,Exp2,"(135, 267.22222222222223)",prediction_error,4.574268048401539e-06
0,2,3,Exp2,"(135, 534.4444444444445)",prediction_error,0.013480390527989087
0,2,3,Exp2,"(180, 267.22222222222223)",prediction_error,0.0011069866938006338
0,2,3,Exp2,"(180, 534.4444444444445)",prediction_error,0.0019393308316370498
0,2,3,Exp2,"(225, 267.22222222222223)",prediction_error,0.001501057809550577
0,2,3,Exp2,"(225, 534.4444444444445)",prediction_error,0.003202677242777611
0,2,3,Exp2,"(270, 267.22222222222223)",prediction_error,0.0048404346122567134
0,2,3,Exp2,"(270, 534.4444444444445)",prediction_error,0.005871994727270221
0,2,3,Exp2,"(315, 267.22222222222223)",prediction_error,6.40585044016713e-06
0,2,3,Exp2,"(315, 534.4444444444445)",prediction_error,0.009590948166682309
0,2,3,Exp2,"(0, 267.22222222222223)",prediction_error,0.000984543437195862
0,2,3,Exp2,"(0, 534.4444444444445)",prediction_error,0.00033300430363561337
0,2,3,Exp2,"(45, 267.22222222222223)",prediction_error,3.3117009634245213e-06
0,2,3,Exp2,"(45, 534.4444444444445)",prediction_error,0.003399632791697126
